x	y
0,684	0,061
0,689	0,077
0,716	0,069
0,741	0,083
0,743	0,093
0,762	0,108
0,782	0,129
0,782	0,143
0,805	0,158
0,822	0,175
0,858	0,214
0,867	0,192
0,922	0,231
0,957	0,275
0,982	0,305
1,029	0,355
1,063	0,403
1,111	0,446
1,171	0,510
1,230	0,565
1,319	0,627
1,435	0,689
1,542	0,774
1,646	0,845
1,789	0,939
1,982	1,018
2,148	1,099
2,397	1,184
2,653	1,303
3,088	1,379
3,428	1,430
3,776	1,522
4,196	1,589
4,635	1,674
5,195	1,772
5,809	1,836
6,530	2,008
7,254	1,982
7,994	2,057
8,885	2,111
10,158	2,286
11,341	2,466
12,867	2,593
14,108	2,768
15,219	2,963
16,843	3,096
18,875	3,326
20,609	3,539
22,474	3,778
24,392	4,017
26,532	4,306
29,354	4,466
32,475	4,734
35,929	5,006
40,766	5,135
46,255	5,490
51,201	5,654
57,928	5,909
63,871	6,066
72,889	6,183
80,640	6,369
89,215	6,433
98,702	6,416
110,097	6,323
117,832	6,350
133,539	6,350
144,182	6,251
163,596	6,002
184,428	5,662
201,154	5,326
226,959	4,987
245,091	4,576
264,390	4,262
296,223	3,827
319,548	3,452
340,332	3,176
381,366	2,588
400,223	2,364
421,013	2,160
449,429	1,899
466,536	1,684
488,973	1,470
514,823	1,356
543,101	1,195
571,260	1,061
600,954	0,937
632,100	0,829
664,860	0,733
699,318	0,656
735,562	0,581
778,109	0,514
803,566	0,461
826,040	0,431
826,040	0,427
832,834	0,412
832,834	0,410
832,834	0,408
846,590	0,400
850,065	0,399
860,574	0,387
864,106	0,387
874,788	0,375
874,788	0,373
881,983	0,363
881,983	0,361
885,603	0,361
885,603	0,360
896,551	0,354
896,551	0,352
907,635	0,345
911,360	0,344
922,627	0,334
941,715	0,323
961,199	0,312
965,143	0,312
977,075	0,302
989,154	0,293
989,154	0,292
989,154	0,291
989,154	0,290
989,154	0,288
997,290	0,280
1013,763	0,275
1022,100	0,269
1026,295	0,268
1038,983	0,264
1043,247	0,264
1043,247	0,262
1056,144	0,257
1077,995	0,248
1077,995	0,247
1105,195	0,237
1118,858	0,232
1123,449	0,231
1132,690	0,228
1137,339	0,226
1146,693	0,223
1156,124	0,221
1165,634	0,217
1170,417	0,217
1199,535	0,212
1239,489	0,207
1275,538	0,199
1296,606	0,195
1296,606	0,195
1323,432	0,191
1328,863	0,190
1345,292	0,184
1350,812	0,184
1356,356	0,184
1431,519	0,177
1437,393	0,177
1443,292	0,177
1534,740	0,170
1541,038	0,169
1579,376	0,167
1585,859	0,167
1674,894	0,161
1674,894	0,160
1731,877	0,151
1739,585	0,150
1830,376	0,143
1837,887	0,143
1933,808	0,138
1941,744	0,138
2059,178	0,134
2067,628	0,134
2110,406	0,131
2145,265	0,130
2154,068	0,130
2234,951	0,128
2281,190	0,127
2366,844	0,123
2445,678	0,120
2475,913	0,118
2486,073	0,118
2496,277	0,117
2537,508	0,115
2547,923	0,115
2611,309	0,114
2720,478	0,110
2720,478	0,110
2788,159	0,108
2892,848	0,103
2904,721	0,103
2940,632	0,102
2952,699	0,102
3026,157	0,098
3026,157	0,098
3038,577	0,098
3088,766	0,096
3101,443	0,095
3101,443	0,095
3204,742	0,091
3284,471	0,090
3297,951	0,090
3311,485	0,089
3408,975	0,086
3437,012	0,086
3451,119	0,085
3613,896	0,081
3673,587	0,079
3688,664	0,079
3795,945	0,076
3811,525	0,076
3941,197	0,073
4039,248	0,072
4055,826	0,072
4176,670	0,070
4176,670	0,070
4263,082	0,068
4280,575	0,068
4423,151	0,066
4589,235	0,065
4764,842	0,063
4784,395	0,063
4804,031	0,063
5066,744	0,060
5066,744	0,060
5214,105	0,058
5387,775	0,054
5521,809	0,053
5521,809	0,052
5803,983	0,050
5827,799	0,050
5875,731	0,050
6150,746	0,048
6407,886	0,047
6434,186	0,046
6513,725	0,046
6800,120	0,044
6828,030	0,044
6884,188	0,044
7115,939	0,041
7145,145	0,041
7322,899	0,040
7352,955	0,040
7443,857	0,039
7731,370	0,038
7763,095	0,038
7988,877	0,037
8021,666	0,037
8054,589	0,036
8087,642	0,036
8466,186	0,035
8500,926	0,035
8784,072	0,034
8820,125	0,034
9188,862	0,033
9226,568	0,033
9744,587	0,031
10069,157	0,030
10110,484	0,030
10323,223	0,030
10365,593	0,030
10854,500	0,028
10854,500	0,028
11079,070	0,028
11177,912	0,027
12099,180	0,026
12502,175	0,025
12502,175	0,025
12502,175	0,025
12553,478	0,025
13033,847	0,024
13141,046	0,024
13194,981	0,024
13690,425	0,023
14663,116	0,021
14723,286	0,021
15027,898	0,021
15089,577	0,021
16334,853	0,020
16334,853	0,020
17017,752	0,019
17584,574	0,019
18244,838	0,018
18319,721	0,018
18319,721	0,018
18546,203	0,018
18546,203	0,018
19007,586	0,017
19007,586	0,017
19163,918	0,017
