x	y
0,420	0,016
0,449	0,076
0,469	0,123
0,481	0,183
0,485	0,313
0,507	0,460
0,522	0,600
0,525	0,206
0,529	0,338
0,529	0,286
0,531	0,461
0,532	0,171
0,532	0,144
0,532	0,128
0,532	0,103
0,534	0,084
0,534	0,071
0,534	0,060
0,534	0,056
0,548	0,096
0,552	0,118
0,559	0,137
0,570	0,176
0,575	0,216
0,591	0,259
0,591	0,312
0,601	0,357
0,601	0,427
0,616	0,493
0,621	0,590
0,633	0,684
0,651	0,879
0,664	1,047
0,672	1,287
0,699	1,506
0,709	1,679
0,733	1,780
0,733	1,960
0,733	2,148
0,756	2,328
0,756	2,557
0,775	2,670
0,775	3,105
0,782	3,258
0,794	3,524
0,821	3,783
0,826	4,140
0,852	4,489
0,889	5,015
0,908	5,339
0,958	6,833
1,012	8,624
1,076	9,776
1,114	10,974
1,156	12,259
1,213	13,554
1,341	14,747
1,378	15,047
1,427	15,694
1,494	15,796
1,541	15,630
1,614	15,630
1,740	15,630
1,858	14,539
2,020	13,232
2,150	12,133
2,185	11,887
2,242	11,391
2,251	11,251
2,270	11,160
2,270	11,114
2,279	10,978
2,298	10,889
2,345	10,668
2,355	10,668
2,365	10,625
2,374	10,581
2,404	10,495
2,404	10,452
2,463	10,198
2,474	10,157
2,535	9,870
2,546	9,789
2,546	9,749
2,556	9,709
2,556	9,670
2,556	9,552
2,556	9,513
2,556	9,474
2,609	9,244
2,609	9,206
2,609	9,168
2,746	8,230
2,903	7,435
2,916	7,369
2,964	7,190
2,964	7,161
2,976	7,161
2,976	7,132
3,001	6,987
3,001	6,958
3,001	6,930
3,025	6,845
3,063	6,707
3,088	6,625
3,088	6,598
3,101	6,571
3,126	6,491
3,139	6,491
3,152	6,464
3,165	6,464
3,204	6,385
3,243	6,281
3,243	6,256
3,270	6,230
3,270	6,205
3,270	6,154
3,311	6,029
3,324	5,956
3,365	5,883
3,365	5,859
3,379	5,811
3,379	5,787
3,435	5,670
3,449	5,647
3,492	5,555
3,535	5,465
3,549	5,465
3,549	5,443
3,564	5,443
3,593	5,398
3,608	5,376
3,608	5,332
3,623	5,332
3,698	5,203
3,713	5,203
3,743	5,160
3,743	5,139
3,805	5,035
3,805	5,015
3,805	4,994
3,821	4,953
3,821	4,933
3,900	4,813
3,900	4,794
3,932	4,755
3,980	4,677
3,997	4,677
4,063	4,583
4,113	4,545
4,181	4,453
4,233	4,417
4,250	4,399
4,320	4,327
4,320	4,310
4,374	4,257
4,392	4,257
4,428	4,222
4,428	4,205
4,464	4,171
4,482	4,171
4,538	4,103
4,557	4,103
4,594	4,070
4,613	4,070
4,728	4,020
4,728	4,003
4,766	4,003
4,806	3,987
4,825	3,987
4,925	3,938
4,945	3,938
5,048	3,890
5,089	3,874
5,195	3,811
5,195	3,796
5,216	3,796
5,346	3,780
5,368	3,765
5,569	3,719
5,592	3,719
5,684	3,704
5,684	3,689
5,874	3,674
5,898	3,674
5,898	3,659
6,045	3,644
6,246	3,644
6,375	3,644
6,375	3,629
6,454	3,629
6,480	3,629
6,480	3,614
6,534	3,614
6,534	3,599
6,642	3,555
6,669	3,555
6,696	3,541
6,724	3,526
6,835	3,483
6,863	3,483
6,948	3,455
6,948	3,426
6,948	3,412
6,976	3,343
7,005	3,330
7,005	3,316
7,121	3,236
7,121	3,222
7,150	3,209
7,150	3,196
7,328	3,106
7,358	3,093
7,510	3,030
7,541	3,018
7,572	3,006
7,572	2,993
7,603	2,981
7,921	2,885
8,118	2,827
8,118	2,815
8,184	2,758
8,184	2,747
8,184	2,736
8,218	2,736
8,354	2,658
8,388	2,647
8,492	2,594
8,527	2,583
8,703	2,510
8,811	2,479
8,847	2,469
9,030	2,429
9,030	2,419
9,067	2,419
9,446	2,361
9,524	2,361
9,524	2,351
9,760	2,351
9,760	2,341
10,086	2,284
10,127	2,275
10,169	2,275
10,294	2,266
10,336	2,266
10,681	2,247
10,725	2,247
10,857	2,238
11,037	2,220
11,357	2,175
11,404	2,175
11,451	2,175
11,640	2,175
11,688	2,175
11,736	2,175
11,881	2,175
12,127	2,175
12,327	2,175
12,479	2,175
12,531	2,175
12,895	2,175
13,108	2,175
13,162	2,175
13,270	2,175
13,379	2,175
13,545	2,175
13,768	2,175
13,825	2,175
14,111	2,175
14,344	2,175
14,641	2,175
14,944	2,175
15,005	2,175
15,253	2,175
15,890	2,175
16,286	2,184
16,555	2,193
17,036	2,202
17,247	2,211
17,389	2,211
17,460	2,211
18,042	2,211
18,116	2,230
18,265	2,230
18,490	2,259
18,643	2,287
18,873	2,306
19,185	2,306
19,263	2,306
19,824	2,306
20,069	2,306
20,151	2,306
20,400	2,306
20,484	2,306
20,822	2,288
20,908	2,288
21,080	2,288
21,166	2,288
21,604	2,288
21,693	2,288
22,507	2,288
22,973	2,288
23,162	2,288
23,641	2,288
23,738	2,288
24,130	2,288
24,229	2,288
25,036	2,241
25,139	2,241
25,139	2,232
25,242	2,232
25,659	2,232
26,083	2,223
26,190	2,223
26,514	2,214
27,062	2,214
27,964	2,196
28,777	2,196
28,895	2,196
29,858	2,160
30,475	2,125
30,726	2,108
31,234	2,082
31,362	2,073
31,490	2,073
32,406	2,065
32,539	2,065
33,623	2,065
34,039	2,065
34,886	2,065
35,029	2,065
35,317	2,065
36,493	2,056
36,493	2,048
36,493	2,031
36,643	1,990
36,793	1,990
37,863	1,958
38,647	1,942
39,125	1,926
39,285	1,926
40,594	1,895
40,760	1,895
41,604	1,872
42,118	1,872
42,291	1,872
43,343	1,864
44,240	1,864
46,947	1,826
48,545	1,796
48,744	1,796
51,025	1,774
51,235	1,774
51,445	1,774
52,725	1,767
52,725	1,760
54,481	1,738
56,296	1,731
56,527	1,731
56,992	1,717
57,696	1,696
57,933	1,696
59,132	1,662
59,374	1,648
60,851	1,621
62,110	1,595
63,395	1,582
63,656	1,582
